start_date,property_name,property_type,meter_name,meter_type,use_per_day,gross_floor_area
2013-06-01T00:00:00Z,Ordway Nature Center,Mixed Use Property,Ordway Nature Center Electric,Electric - Grid,92.20689655172414,5072
2013-07-01T00:00:00Z,Ordway Nature Center,Mixed Use Property,Ordway Nature Center Electric,Electric - Grid,111.23333333333333,5072
2013-08-01T00:00:00Z,Ordway Nature Center,Mixed Use Property,Ordway Nature Center Electric,Electric - Grid,79.56666666666666,5072
2013-09-01T00:00:00Z,Ordway Nature Center,Mixed Use Property,Ordway Nature Center Electric,Electric - Grid,94.86206896551724,5072
2013-10-01T00:00:00Z,Ordway Nature Center,Mixed Use Property,Ordway Nature Center Electric,Electric - Grid,73.13333333333334,5072
2013-11-01T00:00:00Z,Ordway Nature Center,Mixed Use Property,Ordway Nature Center Electric,Electric - Grid,74.48275862068965,5072
2013-12-01T00:00:00Z,Ordway Nature Center,Mixed Use Property,Ordway Nature Center Electric,Electric - Grid,82.46666666666667,5072
2014-01-01T00:00:00Z,Ordway Nature Center,Mixed Use Property,Ordway Nature Center Electric,Electric - Grid,92.56666666666666,5072
2014-02-01T00:00:00Z,Ordway Nature Center,Mixed Use Property,Ordway Nature Center Electric,Electric - Grid,93.11111111111111,5072
2014-03-01T00:00:00Z,Ordway Nature Center,Mixed Use Property,Ordway Nature Center Electric,Electric - Grid,83.56666666666666,5072
2014-04-01T00:00:00Z,Ordway Nature Center,Mixed Use Property,Ordway Nature Center Electric,Electric - Grid,64.24137931034483,5072
2014-05-01T00:00:00Z,Ordway Nature Center,Mixed Use Property,Ordway Nature Center Electric,Electric - Grid,61,5072
2014-06-01T00:00:00Z,Ordway Nature Center,Mixed Use Property,Ordway Nature Center Electric,Electric - Grid,68.3103448275862,5072
2014-07-01T00:00:00Z,Ordway Nature Center,Mixed Use Property,Ordway Nature Center Electric,Electric - Grid,82.03333333333333,5072
2014-08-01T00:00:00Z,Ordway Nature Center,Mixed Use Property,Ordway Nature Center Electric,Electric - Grid,75.4,5072
2014-09-01T00:00:00Z,Ordway Nature Center,Mixed Use Property,Ordway Nature Center Electric,Electric - Grid,52.96551724137931,5072
2014-10-01T00:00:00Z,Ordway Nature Center,Mixed Use Property,Ordway Nature Center Electric,Electric - Grid,37.733333333333334,5072
2014-11-01T00:00:00Z,Ordway Nature Center,Mixed Use Property,Ordway Nature Center Electric,Electric - Grid,43.41379310344828,5072
2014-12-01T00:00:00Z,Ordway Nature Center,Mixed Use Property,Ordway Nature Center Electric,Electric - Grid,45.233333333333334,5072
2015-01-01T00:00:00Z,Ordway Nature Center,Mixed Use Property,Ordway Nature Center Electric,Electric - Grid,65.6,5072
2015-02-01T00:00:00Z,Ordway Nature Center,Mixed Use Property,Ordway Nature Center Electric,Electric - Grid,66.81481481481481,5072
2015-03-01T00:00:00Z,Ordway Nature Center,Mixed Use Property,Ordway Nature Center Electric,Electric - Grid,62.5,5072
2015-04-01T00:00:00Z,Ordway Nature Center,Mixed Use Property,Ordway Nature Center Electric,Electric - Grid,54.26620689655172,5072
2015-05-01T00:00:00Z,Ordway Nature Center,Mixed Use Property,Ordway Nature Center Electric,Electric - Grid,59.322,5072
2015-06-01T00:00:00Z,Ordway Nature Center,Mixed Use Property,Ordway Nature Center Electric,Electric - Grid,53.05068965517241,5072
2015-07-01T00:00:00Z,Ordway Nature Center,Mixed Use Property,Ordway Nature Center Electric,Electric - Grid,54.92633333333333,5072
2015-08-01T00:00:00Z,Ordway Nature Center,Mixed Use Property,Ordway Nature Center Electric,Electric - Grid,32.419333333333334,5072
2015-09-01T00:00:00Z,Ordway Nature Center,Mixed Use Property,Ordway Nature Center Electric,Electric - Grid,38.16620689655172,5072
2015-10-01T00:00:00Z,Ordway Nature Center,Mixed Use Property,Ordway Nature Center Electric,Electric - Grid,35.577999999999996,5072
2015-11-01T00:00:00Z,Ordway Nature Center,Mixed Use Property,Ordway Nature Center Electric,Electric - Grid,32.22896551724138,5072
2015-12-01T00:00:00Z,Ordway Nature Center,Mixed Use Property,Ordway Nature Center Electric,Electric - Grid,34.22566666666667,5072
2016-01-01T00:00:00Z,Ordway Nature Center,Mixed Use Property,Ordway Nature Center Electric,Electric - Grid,54.88533333333333,5072
2016-02-01T00:00:00Z,Ordway Nature Center,Mixed Use Property,Ordway Nature Center Electric,Electric - Grid,66.44642857142857,5072
